ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
"20101018","역삼로 시점에서 86번째 분기된 도로","16","Yeoksam-ro 86-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 965-16","0",602,"대치동 961-14","역삼로86길","4166667",4.000,142.000,"4","11680","3"
"20101018","역삼로 시점에서 88번째 분기된 도로","16","Yeoksam-ro 88-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 966","0",603,"대치동 972","역삼로88길","4166669",6.000,212.000,"4","11680","3"
"20101018","역삼로 시점에서 92번째 분기된 도로","16","Yeoksam-ro 92-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 967","0",604,"대치동 978-14","역삼로92길","4166672",6.000,457.000,"4","11680","3"
"20101018","역삼로 시점에서 98번째 분기된 도로","15","Yeoksam-ro 98-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 968","0",605,"대치동 983-7","역삼로98길","4166674",8.000,249.000,"4","11680","3"
"20101018","도곡로 시점에서 1번째 분기된 도로","15","Dogok-ro 1-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 837-8","0",606,"도곡동 837-13","도곡로1길","4166219",4.000,176.000,"4","11680","3"
"20101018","도곡로 시점에서 3번째 분기된 도로","16","Dogok-ro 3-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 838-8","0",607,"도곡동 836","도곡로3길","4166232",10.000,237.000,"4","11680","3"
"20101018","도곡로 시점에서 5번째 분기된 도로","15","Dogok-ro 5-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 836-21","0",608,"도곡동 836-26","도곡로5길","4166237",4.000,175.000,"4","11680","3"
"20101018","도곡로 시점에서 7번째 분기된 도로","16","Dogok-ro 7-gil","20141030","직권수정(속성변경)","99","20101203","20190426155324","도곡동 839-9","0",609,"도곡동 835","도곡로7길","4166246",11.000,236.000,"4","11680","3"
"20101018","도곡로 시점에서 11번째 분기된 도로","15","Dogok-ro 11-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡로 835-61","0",610,"도곡동 835-69","도곡로11길","4166213",4.000,175.000,"4","11680","3"
"20101018","도곡로 시점에서 13번째 분기된 도로","16","Dogok-ro 13-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 840-8","0",611,"도곡동 793-1","도곡로13길","4166214",8.000,236.000,"4","11680","3"
